run_date,tracked_at,marketplace,keyword,asin,scan_status,scanned_pages,found_any,page_est,pos_on_page,is_sponsored
20-01-2026,20-01-2026 15:00:58,www.amazon.in,sheets for kitchen shelves,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,shelf liners,B0BN5NZCGH,ok,1,True,1,34,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,cupboard sheets for wardrobe,B0BN5NZCGH,ok,1,True,1,26,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,gym floor mats for heavy workout,B09MY5K3SH,ok,1,True,1,11,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,foam mat,B09MY5K3SH,ok,1,True,1,17,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,mat for baby,B0D92JZLVQ,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen sheets for shelves,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen cabinet sheets,B0BN5NZCGH,ok,1,True,1,20,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,baby playing mat,B0D92JZLVQ,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,interlocking floor mats,B09MY5K3SH,ok,1,True,1,33,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen drawer mats,B0BN5NZCGH,ok,1,True,1,34,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,easy home gym mat for floor,B09MY5K3SH,ok,1,True,1,6,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,transparent sheet for kitchen,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,baby play mat for 0 to 2 years,B0D92JZLVQ,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,gym flooring,B09MY5K3SH,ok,1,True,1,11,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,baby mat,B0D92JZLVQ,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,gym floor mat,B09MY5K3SH,ok,1,True,1,10,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,eva mats for kids play school,B09MYDPF3Y,ok,1,True,1,3,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kids play mat for floor,B09MYDPF3Y,ok,1,True,1,16,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,anti slip mat for kitchen,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen liners for shelves,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,baby floor mat for crawling big size,B0D92JZLVQ,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,wardrobe mats for shelves,B0BN5NZCGH,ok,1,True,1,47,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,rubber floor tiles,B09MY5K3SH,ok,1,True,1,29,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen shelf sheets waterproof,B0BN5NZCGH,ok,7,False,,,False
