run_date,tracked_at,marketplace,keyword,asin,scan_status,scanned_pages,absolute_pos,organic_pos,sponsored_pos,found_any,found_org,found_sp,page_est,title,is_sponsored
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,2 in 1 wireless carplay adapter,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,2 in 1 wireless carplay adapter,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,2 in 1 wireless carplay adapter,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,2 in 1 wireless carplay adapter,B0G25K24LG,ok,3,9,,5,True,False,True,3,"2-in-1 Wireless CarPlay &amp; Android Auto Adapter - Universal Dongle for Cars | 5.8GHz Fast Data Transfer, Plug &amp; Play, Auto-...",True
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,2 in 1 wireless carplay adapter,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mic for youtube,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mic for youtube,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mic for youtube,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mic for youtube,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mic for youtube,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mic for youtube,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mic for youtube,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone mic,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone mic,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone mic,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone mic,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone mic,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone mic,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone mic,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone for recording,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone for recording,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone for recording,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone for recording,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone for recording,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone for recording,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,microphone for recording,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic for youtube,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic for youtube,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic for youtube,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic for youtube,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic for youtube,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic for youtube,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless mic for youtube,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,c type mic,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,c type mic,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,c type mic,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,c type mic,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,c type mic,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,c type mic,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,c type mic,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
