keywordId,cost,adGroupName,matchType,campaignId,sales1d,impressions,adGroupId,keywordBid,targeting,keywordType,clicks,purchases1d,keyword,campaignName
172928845471548,0,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,0,126,396668873295896,20,"asin=""B009VELS34""",TARGETING_EXPRESSION,0,0,"asin=""B009VELS34""",SP-PT-Face Wash-(Forest Essential)
266095776072233,127.13,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,0,1247,396668873295896,19.77,"asin=""B08XC833SM""",TARGETING_EXPRESSION,5,0,"asin=""B08XC833SM""",SP-PT-Face Wash-(Forest Essential)
89401228896292,0,Ad Group - 10/2/2026 14:44:51.522,TARGETING_EXPRESSION,133543582508551,0,12,385267679235213,23.65,"asin=""B08P3C7SDJ""",TARGETING_EXPRESSION,0,0,"asin=""B08P3C7SDJ""",SP-PT-Face Serum-(Forest Essential)
183404746472959,186.51,Ad Group - 16/2/2026 11:08:18.146,TARGETING_EXPRESSION,252467080354898,0,773,339036717667693,23.11,"asin=""B0DN5QBMLZ""",TARGETING_EXPRESSION,7,0,"asin=""B0DN5QBMLZ""",SP-PT-Face Oil
253230848570300,0,Ad Group - 10/2/2026 14:44:51.522,TARGETING_EXPRESSION,133543582508551,0,8,385267679235213,23.65,"asin=""B0F32PKDMB""",TARGETING_EXPRESSION,0,0,"asin=""B0F32PKDMB""",SP-PT-Face Serum-(Forest Essential)
135143299260371,0,Ad Group - 10/2/2026 14:44:51.522,TARGETING_EXPRESSION,133543582508551,0,2,385267679235213,23.65,"asin=""B0F32R1P35""",TARGETING_EXPRESSION,0,0,"asin=""B0F32R1P35""",SP-PT-Face Serum-(Forest Essential)
61750808778948,3171.65,Ad Group - 26/12/2025 14:17:32.668,TARGETING_EXPRESSION,409719708082570,4614.4,16805,530622467560381,29,"asin=""B01N7VRC5U""",TARGETING_EXPRESSION,93,10,"asin=""B01N7VRC5U""",SP-PT-Face Scrub
267728153274880,11882.66,Ad Group - 26/12/2025 14:17:32.668,TARGETING_EXPRESSION,409719708082570,9648.28,45927,530622467560381,36,"asin=""B0CV79NBBK""",TARGETING_EXPRESSION,310,23,"asin=""B0CV79NBBK""",SP-PT-Face Scrub
103453789255837,38.04,Ad Group - 10/1/2026 13:08:14.108,TARGETING_EXPRESSION,530517008716333,0,248,415463865960692,25.87,"asin=""B0FDQJTFP2""",TARGETING_EXPRESSION,2,0,"asin=""B0FDQJTFP2""",SP-PT-Defensive
44043104133056,0,Ad Group - 10/1/2026 13:08:14.108,TARGETING_EXPRESSION,530517008716333,0,12,415463865960692,25.87,"asin=""B0FDQMJGMR""",TARGETING_EXPRESSION,0,0,"asin=""B0FDQMJGMR""",SP-PT-Defensive
228881102532512,97.21,Ad Group - 10/1/2026 13:08:14.108,TARGETING_EXPRESSION,530517008716333,0,503,415463865960692,12.42,"asin=""B0FDL28RZX""",TARGETING_EXPRESSION,11,0,"asin=""B0FDL28RZX""",SP-PT-Defensive
134004681105284,88.12,Ad Group - 10/1/2026 13:08:14.108,TARGETING_EXPRESSION,530517008716333,419.49,553,415463865960692,33.22,"asin=""B0FDR1Z162""",TARGETING_EXPRESSION,5,1,"asin=""B0FDR1Z162""",SP-PT-Defensive
92595861494703,13.83,Ad Group - 10/1/2026 13:08:14.108,TARGETING_EXPRESSION,530517008716333,0,330,415463865960692,12.42,"asin=""B0FDL2SCRM""",TARGETING_EXPRESSION,2,0,"asin=""B0FDL2SCRM""",SP-PT-Defensive
261738458695218,39.36,Ad Group - 10/1/2026 13:08:14.108,TARGETING_EXPRESSION,530517008716333,0,637,415463865960692,23.83,"asin=""B0FDR1RNPJ""",TARGETING_EXPRESSION,2,0,"asin=""B0FDR1RNPJ""",SP-PT-Defensive
129394692197570,0,Ad Group - 10/1/2026 13:08:14.108,TARGETING_EXPRESSION,530517008716333,0,165,415463865960692,23.19,"asin=""B0FDQZDJF1""",TARGETING_EXPRESSION,0,0,"asin=""B0FDQZDJF1""",SP-PT-Defensive
262472866779452,322.36,Ad Group - 10/1/2026 13:08:14.108,TARGETING_EXPRESSION,530517008716333,0,670,415463865960692,20,"asin=""B0FDQTVSJ6""",TARGETING_EXPRESSION,21,0,"asin=""B0FDQTVSJ6""",SP-PT-Defensive
