targeting,cost,searchTerm,unitsSoldClicks1d,adGroupName,campaignId,clicks,purchases1d,sales1d,impressions,campaignName,adGroupId
face scrub,16.78,face scrub haldi chandan multani mitti,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,12.0,face scrub herbal,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,3,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,14.44,face scrub mamaearth,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,4,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,18.0,face scrub man,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,1,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,15.48,face scrub massage cream,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,17.17,face scrub men,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,4,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,8.9,face scrub mild,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,18,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,19.29,face scrub natural,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,18.0,face scrub non creamy,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,1,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,15.01,face scrub packets,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",20.96,face scrub papaya,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,2,SP-PT-Face Scrub,530622467560381
"asin=""B01N7VRC5U""",48.25,face scrub patanjali,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,3,SP-PT-Face Scrub,530622467560381
face scrub,34.99,face scrub powder,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,2,0,0,20,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,18.74,face scrub saffron flavour,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,15.96,face scrub unisex,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,6,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,29.77,face scrub wali syrup to face wali syrup,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,1,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,19.83,face scrub without chemicals25,1,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,1,419.49,1,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,19.34,face scrub woman,1,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,1,419.49,93,SP-KT-Kesar Chandan Scrub,503396541527413
substitutes,65.3,face scrubber for men,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,4,0,0,109,SPA-Face Scrub,441760799846673
substitutes,176.72,face scrubber for women,1,Ad Group - 3/11/2025 13:58:14.002,441139935973339,11,1,419.49,491,SPA-Face Scrub,441760799846673
face scrub,12.51,face scrubs for men,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,11,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B01N7VRC5U""",34.28,face skin exfoliator,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,1,SP-PT-Face Scrub,530622467560381
face wash,30.91,face wash,0,Ad Group - 2/3/2026 13:39:05.809,165848451288933,1,0,0,2529,SP-KT-Face Wash,329565943315869
"asin=""B0CV79NBBK""",40.39,face whitening scrub,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,2,SP-PT-Face Scrub,530622467560381
"asin=""B0CV79NBBK""",47.06,faces scrub for women,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,4,SP-PT-Face Scrub,530622467560381
substitutes,32.49,facescrub for women,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,2,0,0,7,SPA-Face Scrub,441760799846673
substitutes,16.74,facewash scrub,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,2,SPA-Face Scrub,441760799846673
substitutes,15.94,facial best massage cream,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,2,SPA-Face Scrub,441760799846673
substitutes,8.4,facial hair removal scrub,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,2,SPA-Face Scrub,441760799846673
substitutes,49.76,facial kit for tan removal and glow,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,3,0,0,25,SPA-Face Scrub,441760799846673
"asin=""B0CV79NBBK""",40.09,facial scrub,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,14,SP-PT-Face Scrub,530622467560381
substitutes,16.74,facial scrub for women,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,5,SPA-Face Scrub,441760799846673
"asin=""B0CV79NBBK""",32.6,facial scrub for women,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,10,SP-PT-Face Scrub,530622467560381
"asin=""B01N7VRC5U""",67.57,facial scrubs & polishes,1,Ad Group - 26/12/2025 14:17:32.668,409719708082570,2,1,419.49,33,SP-PT-Face Scrub,530622467560381
substitutes,16.57,foot scrub cream,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,3,SPA-Face Scrub,441760799846673
"asin=""B0CM9DPYN2""",43.65,forest essential facial scrub,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,5,SP-PT-Face Scrub,530622467560381
face pack for women,9.92,forest essentials face pack for women,0,Ad Group - 2/3/2026 13:03:28.360,22913106144338,1,0,0,2,SP-KT-Face Mask,293912773304118
face scrub,13.73,forests face scrub,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,5,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",41.54,forever scrub for face,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,2,SP-PT-Face Scrub,530622467560381
"asin=""B0CV79NBBK""",89.28,fruit scrub for face,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,2,0,0,15,SP-PT-Face Scrub,530622467560381
substitutes,12.32,gentle exfoliating face,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,1,SPA-Face Scrub,441760799846673
face scrub,19.5,gentle exfoliating face scrub for clear & glowing skin - 100 ml,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,1,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",48.22,gentle face scrub,1,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,1,419.5,3,SP-PT-Face Scrub,530622467560381
face scrub,18.5,ghar face scrub tan removal,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,9,SP-KT-Kesar Chandan Scrub,503396541527413
substitutes,16.74,ghar peeling gel,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,11,SPA-Face Scrub,441760799846673
face scrub,17.9,ghar soap ka face scrub,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,1,SP-KT-Kesar Chandan Scrub,503396541527413
day cream,12.1,gleur day cream,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,1,0,0,2562,SP-KT-Night & Day Cream,418846667332067
"asin=""B01N7VRC5U""",36.72,golden face scrub,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,10,SP-PT-Face Scrub,530622467560381
face scrub,15.2,goodvibes face scrub,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,0,SP-KT-Kesar Chandan Scrub,503396541527413
pigmentation cream,6.81,gorgesqin anti pigmentation cream,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,1,0,0,3,SP-KT-Night & Day Cream,418846667332067
