SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
exercise mat,665,21,131.12,1601.9,1,8.19,4.76,MONITOR
plastic storage bags for clothes large,1458,9,130.7,461.9,1,28.3,11.11,MONITOR
clothes bag storage,96,8,130.62,452.38,1,28.87,12.5,MONITOR
kids interlocking mats for floor thick,1617,26,130.53,0.0,0,,0.0,ADD AS NEGATIVE
floor mat baby,562,22,130.17,0.0,0,,0.0,ADD AS NEGATIVE
b08qynr3pq,360,20,130.12,13165.95,2,0.99,10.0,BEST CONVERTING
quilt storage bag king size,280,8,129.46,452.38,1,28.62,12.5,MONITOR
mat for babies,386,20,129.36,0.0,0,,0.0,ADD AS NEGATIVE
fridge mats,1166,12,127.97,0.0,0,,0.0,ADD AS NEGATIVE
homestrap storage bags for clothes large,630,12,127.8,0.0,0,,0.0,ADD AS NEGATIVE
b0d2y37zzv,174,11,127.72,461.9,1,27.65,9.09,MONITOR
intelliskills play mat for babies,786,22,127.65,0.0,0,,0.0,ADD AS NEGATIVE
floor mat kids,245,19,127.33,1703.81,1,7.47,5.26,MONITOR
mat,2038,20,126.41,0.0,0,,0.0,ADD AS NEGATIVE
eva foam mat kids,2222,22,125.93,2308.57,1,5.45,4.55,MONITOR
ehomekart gym mats for floor,1058,19,125.3,922.86,1,13.58,5.26,MONITOR
b0ccmnqj3h,469,25,124.64,0.0,0,,0.0,ADD AS NEGATIVE
mat for baby playing,2821,20,124.32,0.0,0,,0.0,ADD AS NEGATIVE
baby toys for 0 to 6 month,2692,21,124.05,0.0,0,,0.0,ADD AS NEGATIVE
waterproof baby floor mat,266,20,124.01,0.0,0,,0.0,ADD AS NEGATIVE
organizer storage box,785,11,123.99,0.0,0,,0.0,ADD AS NEGATIVE
interlocking floor mat for gym,2976,26,123.07,1614.29,1,7.62,3.85,MONITOR
b0fnd53tjn,542,28,122.18,775.42,1,15.76,3.57,MONITOR
wrestling mat,636,18,120.52,0.0,0,,0.0,ADD AS NEGATIVE
b0f4kjxtzb,480,18,120.49,0.0,0,,0.0,ADD AS NEGATIVE
b08q3zsxf9,1178,33,120.37,0.0,0,,0.0,ADD AS NEGATIVE
mat for kids room,1595,23,119.6,0.0,0,,0.0,ADD AS NEGATIVE
child mat for floor,325,20,119.33,852.38,1,14.0,5.0,MONITOR
baby mat for 0 to 2 years,309,19,119.02,0.0,0,,0.0,ADD AS NEGATIVE
interlocking rubber mat for floor,173,15,118.03,0.0,0,,0.0,ADD AS NEGATIVE
eva mats for floor,183,16,117.75,9809.51,2,1.2,12.5,BEST CONVERTING
floor mat tiles,2909,20,117.66,0.0,0,,0.0,ADD AS NEGATIVE
cotton blanket storage bags,73,7,117.47,0.0,0,,0.0,ADD AS NEGATIVE
wardrobe mats for shelves,109,7,117.44,504.24,1,23.29,14.29,MONITOR
baby foam mat,964,24,116.98,0.0,0,,0.0,ADD AS NEGATIVE
puzzle floor mat for kids,104,16,116.89,0.0,0,,0.0,ADD AS NEGATIVE
b0dw8dt85m,151,10,116.33,0.0,0,,0.0,ADD AS NEGATIVE
b0bx482yw6,365,21,116.18,890.48,1,13.05,4.76,MONITOR
kids study table chair 5-12years,721,21,116.02,0.0,0,,0.0,ADD AS NEGATIVE
rubber mat for baby play area,58,16,115.47,2471.43,1,4.67,6.25,MONITOR
kids playmat,905,17,115.39,0.0,0,,0.0,ADD AS NEGATIVE
b09gfstccm,1452,23,114.56,0.0,0,,0.0,ADD AS NEGATIVE
b0f444ys8j,315,23,114.46,1989.52,1,5.75,4.35,MONITOR
playmate for baby 0-12 months waterproof,405,21,113.77,852.38,1,13.35,4.76,MONITOR
niwlix shelf liners for kitchen shelves,577,10,112.61,1186.44,2,9.49,20.0,BEST CONVERTING
reversible baby play mat,462,19,112.53,1516.94,2,7.42,10.53,BEST CONVERTING
cupboard mat,61,8,111.54,0.0,0,,0.0,ADD AS NEGATIVE
b09tq2cbcm,1411,36,111.53,1544.76,1,7.22,2.78,MONITOR
kids tile mat,1221,15,110.44,0.0,0,,0.0,ADD AS NEGATIVE
cupboard rolls for wardrobe,41,9,109.94,4868.64,3,2.26,33.33,BEST CONVERTING
playing mat for baby,650,16,109.93,588.98,1,18.66,6.25,MONITOR
takiva blanket storage bags,384,8,109.73,0.0,0,,0.0,ADD AS NEGATIVE
waterproof cloth storage bags,25,6,109.42,452.38,1,24.19,16.67,MONITOR
b07pzvjls1,299,9,109.29,1623.74,3,6.73,33.33,BEST CONVERTING
quilt storage bag,312,8,109.15,0.0,0,,0.0,ADD AS NEGATIVE
b0gjf1f6mn,275,22,108.96,3534.28,2,3.08,9.09,BEST CONVERTING
floor mats gym,2090,18,108.82,0.0,0,,0.0,ADD AS NEGATIVE
