run_date,tracked_at,marketplace,group,keyword,asin,scan_status,scanned_pages,found_any,page_est
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,transparent sheet for kitchen,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,wardrobe mats for shelves,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,wardrobe mats for shelves,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,wardrobe mats for shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,wardrobe mats for shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,wardrobe sheets,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,wardrobe sheets,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,wardrobe sheets,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,wardrobe sheets,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,wardrobe sheets for shelves,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,wardrobe sheets for shelves,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,wardrobe sheets for shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,wardrobe sheets for shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,easy home gym mat for floor,B09MY5K3SH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,easy home gym mat for floor,B0D9HB8LTP,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,easy home gym mat for floor,B0C1431JNZ,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,easy home gym mat for floor,B0D9HCMCCY,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,easyhome gym mats,B09MY5K3SH,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,easyhome gym mats,B0D9HB8LTP,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,easyhome gym mats,B0C1431JNZ,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,easyhome gym mats,B0D9HCMCCY,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,exercise mat for home workout,B09MY5K3SH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,exercise mat for home workout,B0D9HB8LTP,ok,7,True,2
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,exercise mat for home workout,B0C1431JNZ,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,exercise mat for home workout,B0D9HCMCCY,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym carpet,B09MY5K3SH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym carpet,B0D9HB8LTP,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym carpet,B0C1431JNZ,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym carpet,B0D9HCMCCY,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym equipment mat,B09MY5K3SH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym equipment mat,B0D9HB8LTP,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym equipment mat,B0C1431JNZ,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym equipment mat,B0D9HCMCCY,ok,7,True,2
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym floor mat,B09MY5K3SH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym floor mat,B0D9HB8LTP,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym floor mat,B0C1431JNZ,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym floor mat,B0D9HCMCCY,ok,7,True,4
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym floor mat rubber,B09MY5K3SH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,EVA Gym,gym floor mat rubber,B0D9HB8LTP,ok,7,True,1
