sku,asin,product_name,fba_available,fba_inbound_working,fba_inbound_shipped,fba_reserved,fba_unsellable,fba_total,snapshot_date
EH_Baby_Play_Mat_F,B0D92JZLVQ,"EASY HOME Reversible Baby Play Mat, Extra Large Babies Folding Mats, Waterproof and Portable Kids Floor Covering for Learning & Crawling, Foldable Soft Foam, for Kids Animal Names(Size- 5x6 ft)",95,0,0,0,0,95,2026-04-13
EH_Baby_Play_Mat_R,B0D92K2DWS,"EASY HOME Reversible Baby Play Mat, Extra Large Babies Folding Mat, Waterproof and Portable Kids Floor Mat for Learning & Crawling, Foldable Soft Foam Mat for Kids Girafe Printed (Size- 5x6 ft)",1,0,0,2,0,3,2026-04-13
EH_Black&Grey_EVA_24mm_PO12,B0FBGSF554,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 25mm Thickness, Black & Grey (12 Tiles - 48Sqft)",6,0,0,0,0,6,2026-04-13
EH_Black&Grey_EVA_24mm_PO16,B0FBGSYLC3,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 25mm Thickness, Black & Grey (16 Tiles - 64Sqft)",4,0,0,1,0,5,2026-04-13
EH_Black&Grey_EVA_24mm_PO4,B0FBGRDJDJ,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 25mm Thickness, Black & Grey (4 Tiles - 16Sqft)",18,0,0,0,0,18,2026-04-13
EH_Black&Grey_EVA_24mm_PO8,B0FBGVMPFL,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Mat- 60x60cm - 25mm Thickness, Black & Grey (8 Tiles - 32Sqft)",9,0,0,0,0,9,2026-04-13
EH_Black&Grey_EVA_PO12,B0D9HDFSH3,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm, Black & Grey (12 Tiles - 48Sqft)",79,0,0,0,0,79,2026-04-13
EH_Black&Grey_EVA_PO16,B0D9HBVW5C,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm, Black & Grey (16 Tiles - 64Sqft)",59,0,0,0,0,59,2026-04-13
EH_Black&Grey_EVA_PO20,B0D9HD2S7M,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm, Black & Grey (20 Tiles - 80Sqft)",47,0,0,0,0,47,2026-04-13
EH_Black&Grey_EVA_PO24,B0D9HBF469,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm, Black & Grey (24 Tiles - 96Sqft)",39,0,0,0,0,39,2026-04-13
