sku,asin,product_name,fc_code,quantity,fc_type,snapshot_date
SB_Orange & Navy Blue_70Ltrs_PO1,B0G93NZ3ZR,"EASY HOME 70 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag (54x46x28 cm, Medium)",XHZU,0,seller_flex,2026-04-13
SB_Grey&Black_70Ltrs_PO1,B0G92XDXFW,"EASY HOME 70 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag (54x46x28 cm, Medium)",XHZU,33,seller_flex,2026-04-13
SB_Navy Blue&White_33Ltrs_PO01,B0GDG92JXT,"EASY HOME 33 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag blue and white",XHZU,22,seller_flex,2026-04-13
insulation_cover_2000,B0GH1LCYD2,"EASYHOME 3-Layer Insulated Heavy Duty Water Tank Cover (2000 Litre) – 6 mm Korean Sheet, UV & Weather Protection, Heat Resistant for Overhead Tanks",XHZU,10,seller_flex,2026-04-13
insulation_cover_1500,B0GH79QFKB,"EASY HOME 3-Layer Insulated Water Tank Cover (1500 Litre) – 6 mm Korean Sheet, UV & Weather Protection, Heat Resistant for Overhead Tanks",XHZU,24,seller_flex,2026-04-13
EH_Black&Grey_Leaf_PO8,B0GL8BF4Z6,"EASY HOME Gym Mats for Floor for Home and Living Room, Leaf Pattern Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm, Black & Grey Pack of 8",XHZU,48,seller_flex,2026-04-13
EH_Black&Grey_Leaf_PO4,B0GL8MFQGN,"EASY HOME Gym Mats for Floor for Home and Living Room, Leaf Pattern Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm, Black & Grey Pack of 4",XHZU,96,seller_flex,2026-04-13
EH_Black&Grey_Leaf_PO12,B0GL8PBY47,"EASY HOME Gym Mats for Floor for Home and Living Room, Leaf Pattern Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm 12mm, Black & Grey Pack of 12",XHZU,32,seller_flex,2026-04-13
EH_Black&Grey_Leaf_PO16,B0GL92YFHT,"EASY HOME Gym Mats for Floor for Home and Living Room, Leaf Pattern Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm 12mm, Black & Grey Pack of 16",XHZU,24,seller_flex,2026-04-13
LIL_EVA_Blue_Grey_White_PO9,B0GPQRRX2Y,"LILTOES Interlocking Mat - 12mm Thick | 60x60cm 9 Tiles (36 Sq Ft Area) for Kids | Soft & Protective Puzzle Mat for Baby Crawling, Playroom & Exercise",XHZU,2,seller_flex,2026-04-13
LIL_DIAMOND_EVA_MULTI_PO9_New,B0GPQGZG47,"LILTOES Multicolor Diamond Play Mat for Kids, Baby Interlocking Playmat for Crawling and Playing - Protective Interlocking Floor Tile for Kids- 60x60cm - 12mm Thickness Pack of 9",XHZU,33,seller_flex,2026-04-13
LIL_EVA_Yellow_Sea_Green_Purple_PO9,B0GPQMSQP2,"LILTOES Interlocking Mat - 12mm Thick | 60x60cm 9 Tiles (36 Sq Ft Area) for Kids | Soft & Protective Puzzle Mat for Baby Crawling, Playroom & Exercise",XHZU,3,seller_flex,2026-04-13
LIL_EVA_ALL_MULTICOLOR_PO9,B0GPQK8SJP,"LILTOES Interlocking Mat - 12mm Thick | 60x60cm 9 Tiles (36 Sq Ft Area) for Kids | Soft & Protective Puzzle Mat for Baby Crawling, Playroom & Exercise",XHZU,33,seller_flex,2026-04-13
LIL_EVA_Orange_Sea_Green_Navy_PO9,B0GPQJPSFV,"LILTOES Interlocking Mat - 12mm Thick | 60x60cm 9 Tiles (36 Sq Ft Area) for Kids | Soft & Protective Puzzle Mat for Baby Crawling, Playroom & Exercise",XHZU,3,seller_flex,2026-04-13
LIL_EVA_Brown&Beige_PO9,B0GPQKH461,"LILTOES Interlocking Mat - 12mm Thick | 60x60cm 9 Tiles (36 Sq Ft Area) for Kids | Soft & Protective Puzzle Mat for Baby Crawling, Playroom & Exercise",XHZU,3,seller_flex,2026-04-13
