ASIN,SKU,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS,CTR%,CVR%,CPC,Campaigns,Category,CategoryKey,total_units,total_revenue,shipped_units,cancelled_units,fba_available,fba_inbound,fba_total,cost_price,organic_sales,blended_roas,ad_contribution_pct
B0B6VDFMJT,eva_mats_multi-8,29673,291,1817.11,19397.13,8,10,9.37,10.67,0.98,2.75,6.24,12,PUSH HARDER,EVA_Kids,46.0,73305.05,46.0,0.0,,,,610.0,53907.92,40.34155884894145,26.46083728201536
B0B6T6D2YV,eva_mats_grey_4_,16309,282,1812.13,16650.47,9,9,10.88,9.19,1.73,3.19,6.43,2,PUSH HARDER,EVA_Kids,4.0,3624.0,4.0,0.0,,,,,0.0,1.9998565224349245,459.45005518763804
B0G1YWZH29,SB_Grey&Black_33Ltrs_PO2,16008,127,1742.58,3609.52,6,7,48.28,2.07,0.79,4.72,13.72,7,MONITOR,Storage,40.0,18610.0,39.0,0.0,,,,200.0,15000.48,10.6795670786994,19.395593766792047
B0C141W8X1,EH_EVA_Black_Mat_PO12,19642,172,1663.34,19038.08,7,7,8.74,11.45,0.88,4.07,9.67,16,PUSH HARDER,EVA_Gym,11.0,27590.0,10.0,0.0,,,,,8551.919999999998,16.58710786730314,69.00355201159842
B0F2TCMVWC,EH-Black-Mat-8,17257,198,1635.7,22293.34,7,9,7.34,13.63,1.15,3.54,8.26,23,PUSH HARDER,EVA_Kids,9.0,15290.0,9.0,0.0,,,,640.0,0.0,9.347679892400807,145.80340091563113
B0F7RM1269,EH_EVA_Yellow_Sea_Green_Purple_PO9,28284,195,1627.43,15639.99,5,12,10.41,9.61,0.69,2.56,8.35,1,PUSH HARDER,EVA_Kids,6.0,12534.0,6.0,0.0,,,,,0.0,7.701713744984423,124.78051699377693
B0CJJSVBSJ,Antislipmat_Grey_Lines_60cmx10mtr,21509,100,1533.89,0.0,0,0,,0.0,0.46,0.0,15.34,8,LOSER - PAUSE,ASM,15.0,14175.0,15.0,0.0,,,,400.0,14175.0,9.241210256276526,0.0
B0DX25VNGF,eh_eva_mats_black_8,45677,237,1412.07,7671.43,4,4,18.41,5.43,0.52,1.69,5.96,6,WINNER,EVA_Gym,23.0,38725.0,22.0,0.0,,,,,31053.57,27.424277833251892,19.810019367333766
B0G25TVVSX,SB_Navy Blue&White_33Ltrs_PO2,15269,104,1306.32,1680.0,4,4,77.76,1.29,0.68,3.85,12.56,2,LOSER - CUT BIDS,Storage,15.0,6635.0,13.0,0.0,,,,200.0,4955.0,5.079153653009983,25.320271288620948
B0FPD2S95J,EH_EVA_Multicolor_Mat_PO08,27115,140,1305.53,12931.44,4,6,10.1,9.91,0.52,2.86,9.33,5,PUSH HARDER,EVA_Kids,5.0,7395.0,5.0,0.0,,,,61.0,0.0,5.664366196104265,174.86734279918866
B0F48HZBYQ,EH_ASM_Floral_45x5,33544,154,1179.7,487.29,1,1,242.09,0.41,0.46,0.65,7.66,1,LOSER - CUT BIDS,ASM,1.0,575.0,1.0,0.0,,,,200.0,87.70999999999998,0.48741205391201153,84.74608695652174
B0FP9WSZ8Q,Lil_EVA_MULTI_9_,45084,202,1042.57,12529.52,5,5,8.32,12.02,0.45,2.48,5.16,2,PUSH HARDER,EVA_Kids,13.0,22737.0,13.0,0.0,,,,,10207.48,21.808607575510518,55.10630250252891
B0D9HBVW5C,EH_Black&Grey_EVA_PO16,23066,87,870.61,19938.1,6,6,4.37,22.9,0.38,6.9,10.01,12,PUSH HARDER,EVA_Gym,7.0,18490.0,7.0,0.0,,,,1360.0,0.0,21.237982563949416,107.83180097349918
B0CRKV6Z84,eHK_EVA_Black_8,18896,141,857.14,10250.48,6,6,8.36,11.96,0.75,4.26,6.08,5,PUSH HARDER,EVA_Gym,23.0,37505.0,23.0,0.0,,,,,27254.52,43.75597918659729,27.330969204106122
B0D9D3X4WF,Lil_EVA_MULTI_6,5163,101,773.42,8715.25,2,5,8.87,11.27,1.96,1.98,7.66,1,PUSH HARDER,EVA_Kids,5.0,6945.0,5.0,0.0,,,,510.0,0.0,8.979597114116523,125.48956083513319
B0G1YPPMQR,SB_Grey&Black_70Ltrs_PO4,15441,43,651.19,1880.96,2,2,34.62,2.89,0.28,4.65,15.14,3,MONITOR,Storage,14.0,13850.0,14.0,0.0,,,,440.0,11969.04,21.26875412705969,13.580938628158846
B0G1YNMTPK,SB_Navy Blue&White_70Ltrs_PO2,8574,55,646.38,2809.53,5,5,23.01,4.35,0.64,9.09,11.75,2,WINNER,Storage,16.0,7920.0,16.0,0.0,,,,220.0,5110.469999999999,12.252854358117515,35.47386363636364
B0BN5P232F,AntiSkidMat_Diamond_Clear_45cmx5mtr,11349,63,607.35,1677.97,4,4,36.2,2.76,0.56,6.35,9.64,11,MONITOR,ASM,31.0,12149.0,31.0,0.0,,,,150.0,10471.03,20.003292994154936,13.811589431228906
B0B5RVR7ZF,eva_mats_black_12,4599,53,328.33,0.0,0,0,,0.0,1.15,0.0,6.19,4,LOSER - PAUSE,EVA_Gym,4.0,9686.0,4.0,0.0,,,,915.0,9686.0,29.500807114793044,0.0
B0G1YPN442,SB_Black&White_70Ltrs_PO4,5708,24,327.54,1876.2,1,2,17.46,5.73,0.42,4.17,13.65,2,MONITOR,Storage,9.0,8865.0,9.0,0.0,,,,440.0,6988.8,27.06539659278256,21.16412859560068
B0CRHST3YZ,LT_EVA_MULTI_16,6151,63,314.8,5590.47,2,2,5.63,17.76,1.02,3.17,5.0,6,PUSH HARDER,EVA_Kids,20.0,58580.0,20.0,0.0,,,,,52989.53,186.0864040660737,9.543308296346877
B0D77DKFJB,EH_EVA_Black_Mat_PO16,10626,42,301.63,1376.19,1,1,21.92,4.56,0.4,2.38,7.18,14,MONITOR,EVA_Gym,7.0,20976.0,7.0,0.0,,,,,19599.81,69.54215429499719,6.560783752860412
B0B6VCW2VK,eva_mat_grey_12,8413,35,251.87,5558.1,2,2,4.53,22.07,0.42,5.71,7.2,5,PUSH HARDER,EVA_Gym,3.0,6965.0,3.0,0.0,,,,,1406.8999999999996,27.653154405050223,79.80043072505384
