SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
b0d9d754v4,22,3,45.51,419.49,1,10.85,33.33,MONITOR
multani mitti face scrub,19,3,45.47,0.0,0,,0.0,ADD AS NEGATIVE
mild exfoliator for face,4,1,45.32,0.0,0,,0.0,ADD AS NEGATIVE
tan removal,299,3,44.9,0.0,0,,0.0,ADD AS NEGATIVE
milk and honey scrub,39,2,44.75,0.0,0,,0.0,ADD AS NEGATIVE
face scrub dr rashel,5,1,44.57,0.0,0,,0.0,ADD AS NEGATIVE
face scrub forest essential,1,1,44.47,0.0,0,,0.0,ADD AS NEGATIVE
orange scrub for face,7,1,44.41,0.0,0,,0.0,ADD AS NEGATIVE
top 10 face scrub for dry skin,2,1,44.12,0.0,0,,0.0,ADD AS NEGATIVE
forest essential facial scrub,5,1,43.65,0.0,0,,0.0,ADD AS NEGATIVE
ayumcure face scrub,5,2,43.47,0.0,0,,0.0,ADD AS NEGATIVE
anti aging face scrub for women,8,1,43.46,0.0,0,,0.0,ADD AS NEGATIVE
face gold scrub,1,1,43.26,0.0,0,,0.0,ADD AS NEGATIVE
vitamin c face scrub,3,1,43.17,0.0,0,,0.0,ADD AS NEGATIVE
chemist at play brightening body scrub,1,1,43.15,0.0,0,,0.0,ADD AS NEGATIVE
ayurvedic scrub for women,4,2,43.07,0.0,0,,0.0,ADD AS NEGATIVE
vitamin c face scrub for men,4,1,42.95,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for women tan removal dove,4,1,42.85,0.0,0,,0.0,ADD AS NEGATIVE
kumkumadi face scrub,20,2,42.43,0.0,0,,0.0,ADD AS NEGATIVE
cetaphil face scrub,5,1,42.27,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for men sensitive skin,2,1,42.22,0.0,0,,0.0,ADD AS NEGATIVE
soultree ayurvedic face scrub - walnut & turmeric with cooling sandalwood,5,1,42.0,0.0,0,,0.0,ADD AS NEGATIVE
apricots face scrub,4,1,41.86,0.0,0,,0.0,ADD AS NEGATIVE
forever scrub for face,2,1,41.54,0.0,0,,0.0,ADD AS NEGATIVE
face scrub dry skin,2,1,41.27,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for dry skin women,2,1,41.27,0.0,0,,0.0,ADD AS NEGATIVE
b08wc91t61,7,3,41.2,0.0,0,,0.0,ADD AS NEGATIVE
dove scrub face,5,1,40.95,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for women in all screen,5,1,40.5,0.0,0,,0.0,ADD AS NEGATIVE
innate pigmentation cream,42,2,40.41,0.0,0,,0.0,ADD AS NEGATIVE
face whitening scrub,2,1,40.39,0.0,0,,0.0,ADD AS NEGATIVE
best face scrub for all skin types,2,1,40.38,0.0,0,,0.0,ADD AS NEGATIVE
bio care face scrub,3,1,40.29,0.0,0,,0.0,ADD AS NEGATIVE
vitamin c serum for glowing skin,2073,1,40.12,0.0,0,,0.0,ADD AS NEGATIVE
facial scrub,14,1,40.09,0.0,0,,0.0,ADD AS NEGATIVE
b0fdr1rnpj,18,2,39.36,0.0,0,,0.0,ADD AS NEGATIVE
organic coffee powder face scrub,3,2,39.0,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for tan removal and glowing skin,11,1,38.65,0.0,0,,0.0,ADD AS NEGATIVE
charcoal face scrub,3,2,38.63,0.0,0,,0.0,ADD AS NEGATIVE
herbal face scrub powder,2,1,38.62,0.0,0,,0.0,ADD AS NEGATIVE
pigmentation cream,72,2,38.54,0.0,0,,0.0,ADD AS NEGATIVE
korean face scrub,14,1,38.13,0.0,0,,0.0,ADD AS NEGATIVE
b0fdqjtfp2,28,2,38.04,0.0,0,,0.0,ADD AS NEGATIVE
cureskin face scrub,2,1,37.75,0.0,0,,0.0,ADD AS NEGATIVE
